용어명,물리명,도메인유형,도메인,데이터타입,코드명,정의,요청업무,최종요청자,최종수정일시
교부시각,DTBN_TM,시분초,시분초C6,CHAR(6),,물건을 내어 준 어느 한 시점,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
교부여부,DTBN_YN,여부,여부C1,CHAR(1),,물건을 내어 줬는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교부일시,DTBN_DT,연월일시분초,연월일시분초D,DATE,,물건을 내어 준 날짜와 시각,공공데이터 공통표준용어 4차(2021-12),행정안전부,2021-12-01 00:00:00
교부일자,DTBN_YMD,연월일,연월일C8,CHAR(8),,물건을 내어 준 날짜,공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
교부청구금액,DTBN_CLM_AMT,금액,금액N15,NUMBER(15),,"조세 체납자에 관하여 다른 원인으로 강제 집행이 진행 또는 완료되었을 경우, 그 환가(換價) 처분에 참가하여 체납 세금을 교부받아서 징수 목적을 달성하고자 청구한 돈의 액수",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교부청구내용,DTBN_CLM_CN,내용,내용V4000,VARCHAR(4000),,"조세 체납자에 관하여 다른 원인으로 강제 집행이 진행 또는 완료되었을 경우, 그 환가(換價) 처분에 참가하여 체납 세금을 교부받아서 징수 목적을 달성하고자 한 청구의 내용",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교부청구일자,DTBN_CLM_YMD,연월일,연월일C8,CHAR(8),,"조세 체납자에 관하여 다른 원인으로 강제 집행이 진행 또는 완료되었을 경우, 그 환가(換價) 처분에 참가하여 체납 세금을 교부받아서 징수 목적을 달성하고자 청구한 날짜",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교수명,PRFSR_NM,명,명V100,VARCHAR(100),,학문이나 기예(技藝)를 가르치는 사람의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교시번호,CLPD_NO,번호,번호V20,VARCHAR(20),,학교의 수업 시간을 세는 단위에 부여하는 식별 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육강사명,EDU_INSTR_NM,명,명V100,VARCHAR(100),,"교육 내용과 관련하여, 학교나 학원 따위에서 위촉받아 강의하는 사람의 이름",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육과목명,EDU_SBJCT_NM,명,명V100,VARCHAR(100),,"교육 내용과 관련하여, 가르치거나 배워야 할 지식 및 경험의 체계를 세분하여 계통을 세운 영역의 이름",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육과정내용,CRCLM_CN,내용,내용V4000,VARCHAR(4000),,"교육 내용과 관련하여, 교과의 배열과 조직을 체계화한 전체적인 계획의 내용",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육과정명,CRCLM_NM,명,명V200,VARCHAR(200),,"교육 내용과 관련하여, 교과의 배열과 조직을 체계화한 전체적인 계획의 이름",공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
교육과정일련번호,CRCLM_SN,일련번호,일련번호N22,NUMBER(22),,"교육 내용과 관련하여, 교과의 배열과 조직을 체계화한 전체적인 계획에 일정한 방식으로 연속되게 매긴 번호",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육관리번호,EDU_MNG_NO,번호,번호V50,VARCHAR(50),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 관리할 때 부여하는 식별 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육구분명,EDU_SE_NM,명,명V100,VARCHAR(100),,지식과 기술 따위를 가르치며 인격을 길러 주는 것 전체를 일정한 기준에 따라 몇 개로 가른 것의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육금액,EDU_AMT,금액,금액N15,NUMBER(15),,교육 내용과 관련하여 지급해야 하는 돈의 액수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육기관명,EDNST_NM,명,명V200,VARCHAR(200),,지식과 기술 등을 가르치는 단체나 기관의 이름,공공데이터 공통표준용어 4차(2021-12),행정안전부,2021-12-01 00:00:00
교육기관상세주소,EDNST_DADDR,상세주소,상세주소V200,VARCHAR(200),,"지식과 기술 등을 가르치는 단체나 기관이 있는 곳의 동(棟)번호, 호(號)수 또는 층수가 나타난 주소",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육기관우편번호,EDNST_ZIP,우편번호,우편번호C5,CHAR(5),,지식과 기술 등을 가르치는 단체나 기관의 소재지 우편번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육기관주소,EDNST_ADDR,주소,주소V200,VARCHAR(200),,지식과 기술 등을 가르치는 단체나 기관이 있는 곳의 주소,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육기관코드,EDNST_CD,코드,코드C7,CHAR(7),기관,지식과 기술 등을 가르치는 단체나 기관을 나타내는 기호 체계,공공데이터 공통표준용어 4차(2021-12),행정안전부,2021-12-01 00:00:00
교육내용,EDU_CN,내용,내용V4000,VARCHAR(4000),,지식과 기술 따위를 가르치며 인격을 길러 주는 과정의 내용,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
교육담당자명,EDU_PIC_NM,명,명V100,VARCHAR(100),,지식과 기술 따위를 가르치며 인격을 길러 주는 일을 맡아 하는 사람의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육대상여부,EDU_TRGT_YN,여부,여부C1,CHAR(1),,지식과 기술 따위를 가르치며 인격을 길러 주는 것의 상대 또는 목적인지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육대상자명,EDU_TRPR_NM,명,명V100,VARCHAR(100),,지식과 기술 따위를 가르치며 인격을 길러 주는 과정의 대상이 되는 사람이나 집단의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육만족도점수,EDU_DGSTFN_SCR,수,수N7,NUMBER(7),,지식과 기술 따위를 가르치며 인격을 길러 주는 것에 대해 고객의 평가를 계량화한 성적을 나타낸 점수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육명,EDU_NM,명,명V100,VARCHAR(100),,지식과 기술 따위를 가르치며 인격을 길러 주는 것의 이름,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
교육목적,EDU_PRPS,내용,내용V4000,VARCHAR(4000),,지식과 기술 따위를 가르치며 인격을 길러 주는 것이 나아가는 방향,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육목표내용,EDU_GOAL_CN,내용,내용V4000,VARCHAR(4000),,지식과 기술 따위를 가르치며 인격을 길러 주는 과정이 추구하는 바에 관한 내용,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육방법내용,EDU_MTHD_CN,내용,내용V4000,VARCHAR(4000),,지식과 기술 따위를 가르치며 인격을 길러 주는 것이 취하는 수단이나 방식의 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육분류명,EDU_CLSF_NM,명,명V100,VARCHAR(100),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 종류에 따라서 가른 것의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육분야명,EDU_FLD_NM,명,명V100,VARCHAR(100),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 여러 갈래로 나눈 범위나 부분의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육비,EDUCO,비용,비용N15,NUMBER(15),,교육에 드는 비용,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육비공제금액,EDUCO_DDC_AMT,금액,금액N15,NUMBER(15),,근로자가 지급한 교육비를 근로 소득 금액에서 공제하는 돈의 액수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육비공제여부,EDUCO_DDC_YN,여부,여부C1,CHAR(1),,근로자가 지급한 교육비를 근로 소득 금액에서 공제하였는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육비여부,EDUCO_YN,여부,여부C1,CHAR(1),,교육에 드는 경비인지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육상세내용,EDU_DTL_CN,내용,내용V4000,VARCHAR(4000),,지식과 기술 따위를 가르치며 인격을 길러 주는 과정에 대한 자세히 정리되어 있는 내용,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육생명,TRNE_NM,명,명V100,VARCHAR(100),,어떤 기관에서 지식이나 기술 따위를 배우는 학생의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육생번호,TRNE_NO,번호,번호V20,VARCHAR(20),,어떤 기관에서 지식이나 기술 따위를 배우는 학생에게 부여하는 식별 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육세,EDUTX,금액,금액N18,NUMBER(18),,의무 교육에 필요한 경비를 마련할 목적으로 부과하는 조세,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육수료번호,EDU_FNSH_NO,번호,번호V50,VARCHAR(50),,지식과 기술 등 일정한 과정을 다 배워 끝마친 것에 부여하는 식별 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육수료여부,EDU_FNSH_YN,여부,여부C1,CHAR(1),,지식과 기술 등 일정한 과정을 다 배워 끝마쳤는지 여부,공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
교육수료일자,EDU_FNSH_YMD,연월일,연월일C8,CHAR(8),,지식과 기술 등 일정한 과정을 다 배워 끝마친 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육수준내용,EDU_LEVEL_CN,내용,내용V4000,VARCHAR(4000),,지식과 기술 따위를 가르치며 인격을 길러 주는 것의 가치나 질 따위의 기준이 되는 일정한 표준이나 정도에 대한 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육순서,EDU_SEQ,순서,순서N10,NUMBER(10),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 정해진 기준에 따라 배열한 차례,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육시각,EDU_TM,시분초,시분초C6,CHAR(6),,지식과 기술 등을 가르치는 어느 한 시점,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육시간,EDU_HR,시분초,시분초C6,CHAR(6),,지식과 기술 등을 가르치는 데 걸리는 일정한 시간,공공데이터 공통표준용어 2차(2020-12),행정안전부,2020-12-01 00:00:00
교육시간수,EDU_HR_CNT,수,수N7,NUMBER(7),,지식과 기술 등을 가르치는 데 걸리는 일정한 시간의 수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육시기내용,EDU_TMNG_CN,내용,내용V4000,VARCHAR(4000),,지식과 기술 따위를 가르치며 인격을 길러 주는 것이 시작되는 때를 설명한 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육시작시각,EDU_BGNG_TM,시분초,시분초C6,CHAR(6),,지식과 기술 등을 가르치는 것을 시작한 어느 한 시점,공공데이터 공통표준용어 3차(2021-10),행정안전부,2021-10-01 00:00:00
교육시작시분,EDU_BGNG_HM,시분,시분C4,CHAR(4),,지식과 기술 등을 가르치는 것을 시작한 시와 분,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육시작일시,EDU_BGNG_DT,연월일시분초,연월일시분초D,DATE,,지식과 기술 등을 가르치는 것을 시작한 날짜와 시각,공공데이터 공통표준용어 3차(2021-10),행정안전부,2021-10-01 00:00:00
교육시작일자,EDU_BGNG_YMD,연월일,연월일C8,CHAR(8),,지식과 기술 등을 가르치는 것을 시작한 날짜,공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
교육신청번호,EDU_APLY_NO,번호,번호V20,VARCHAR(20),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 알려 청구한 것에 부여하는 식별 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육신청시작일시,EDU_APLY_BGNG_DT,연월일시분초,연월일시분초D,DATE,,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 알려 청구하는 일을 시작한 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육신청시작일자,EDU_APLY_BGNG_YMD,연월일,연월일C8,CHAR(8),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 알려 청구하는 일을 시작한 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육신청일련번호,EDU_APLY_SN,일련번호,일련번호N22,NUMBER(22),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 알려 청구하는 것에 일정한 방식으로 연속되게 매긴 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육신청일시,EDU_APLY_DT,연월일시분초,연월일시분초D,DATE,,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 알려 청구한 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육신청일자,EDU_APLY_YMD,연월일,연월일C8,CHAR(8),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 알려 청구한 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육신청종료일시,EDU_APLY_END_DT,연월일시분초,연월일시분초D,DATE,,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 알려 청구하는 일을 끝마치는 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육신청종료일자,EDU_APLY_END_YMD,연월일,연월일C8,CHAR(8),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 알려 청구하는 일을 끝마치는 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육연도,EDU_YR,연도,연도C4,CHAR(4),,지식과 기술 등을 가르친 연도,공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
교육연수과정명,EDTRN_CRS_NM,명,명V200,VARCHAR(200),,지식과 기술 등을 가르치고 학문 따위를 연구하고 닦는 과목의 내용과 체계에 대한 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육연수기관명,EDTRN_INST_NM,명,명V200,VARCHAR(200),,지식과 기술 등을 가르치고 학문 따위를 연구하고 닦는 기관의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육연수내용,EDTRN_CN,내용,내용V4000,VARCHAR(4000),,지식과 기술 등을 가르치고 학문 따위를 연구하고 닦는 것의 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육연수시작일자,EDTRN_BGNG_YMD,연월일,연월일C8,CHAR(8),,지식과 기술 등을 가르치고 학문 따위를 연구하고 닦는 일을 시작한 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육연수종료일자,EDTRN_END_YMD,연월일,연월일C8,CHAR(8),,지식과 기술 등을 가르치고 학문 따위를 연구하고 닦는 일을 끝마친 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육연월,EDU_YM,연월,연월C6,CHAR(6),,지식과 기술 따위를 가르친 연도와 월,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육완료여부,EDU_CMPTN_YN,여부,여부C1,CHAR(1),,지식과 기술 등을 가르치는 것을 완전히 끝마쳤는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육유형명,EDU_TYPE_NM,명,명V200,VARCHAR(200),,지식과 기술 따위를 가르치며 인격을 길러 주는 과정의 성질이나 특징 따위가 공통적인 것끼리 묶은 틀에 속하는 것에 붙인 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육이수시간,EDU_CMCRS_HR,시분초,시분초C6,CHAR(6),,지식과 기술 따위를 순서대로 공부하여 마치는 데 걸리는 일정한 시간,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육이수여부,EDU_CMCRS_YN,여부,여부C1,CHAR(1),,지식과 기술 따위를 순서대로 공부하여 마쳤는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육인원수,EDU_NOPE,수,수N10,NUMBER(10),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 가르친 사람의 수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육인정시간,EDU_RCG_HR,시분초,시분초C6,CHAR(6),,지식과 기술 따위를 가르치며 인격을 길러 주는 과정에 대한 학습 활동을 정해진 기준에 따라 인정한 시간,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육일련번호,EDU_SN,일련번호,일련번호N22,NUMBER(22),,지식과 기술 등을 가르치는 일에 일정한 방식으로 연속되게 매긴 번호,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
교육일수,EDU_DAY_CNT,수,수N7,NUMBER(7),,지식과 기술 따위를 가르치며 인격을 길러 준 날의 수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육일시,EDU_DT,연월일시분초,연월일시분초D,DATE,,지식과 기술 따위를 가르치며 인격을 길러 준 날짜와 시각,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육일자,EDU_YMD,연월일,연월일C8,CHAR(8),,지식과 기술 등을 가르친 날짜,공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
교육일정내용,EDU_SCHDL_CN,내용,내용V4000,VARCHAR(4000),,지식과 기술 따위를 가르치며 인격을 길러 주는 것의 일정에 대해 설명한 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육일정일련번호,EDU_SCHDL_SN,일련번호,일련번호N22,NUMBER(22),,지식과 기술 따위를 가르치며 인격을 길러 주는 것의 일정에 일정한 방식으로 연속되게 매긴 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육자명,EDCTR_NM,명,명V100,VARCHAR(100),,교원으로서 교육에 종사하는 사람의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육장소명,EDU_PLC_NM,명,명V100,VARCHAR(100),,지식과 기술 따위를 가르치며 인격을 길러 주는 곳의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육장소상세주소,EDU_PLC_DADDR,상세주소,상세주소V200,VARCHAR(200),,"지식과 기술 따위를 가르치며 인격을 길러 주는 곳의 건물의 동(棟)번호, 층수(層數) 또는 호수(號數)가 나타난 주소",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육장소우편번호,EDU_PLC_ZIP,우편번호,우편번호C5,CHAR(5),,지식과 기술 따위를 가르치며 인격을 길러 주는 곳의 소재지 우편번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육장소주소,EDU_PLC_ADDR,주소,주소V200,VARCHAR(200),,지식과 기술 따위를 가르치며 인격을 길러 주는 곳의 주소,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육점수,EDU_SCR,수,수N7,NUMBER(7),,지식과 기술 따위를 가르치며 인격을 길러 주는 것의 성적을 나타내는 점수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육정원수,EDU_PSCP_CNT,수,수N10,NUMBER(10),,지식과 기술 따위를 가르치며 인격을 길러 주는 과정에 허용된 최대 인원 수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육종료시각,EDU_END_TM,시분초,시분초C6,CHAR(6),,지식과 기술 등을 가르치는 것을 끝마친 어느 한 시점,공공데이터 공통표준용어 3차(2021-10),행정안전부,2021-10-01 00:00:00
교육종료시분,EDU_END_HM,시분,시분C4,CHAR(4),,지식과 기술 등을 가르치는 것을 끝마친 시와 분,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육종료일시,EDU_END_DT,연월일시분초,연월일시분초D,DATE,,지식과 기술 등을 가르치는 것을 끝마친 날짜와 시각,공공데이터 공통표준용어 3차(2021-10),행정안전부,2021-10-01 00:00:00
교육종료일자,EDU_END_YMD,연월일,연월일C8,CHAR(8),,지식과 기술 등을 가르치는 것을 끝마친 날짜,공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
교육주기내용,EDU_CYCLE_CN,내용,내용V4000,VARCHAR(4000),,지식과 기술 따위를 가르치며 인격을 길러 주는 과정이 되풀이되기까지의 기간을 설명한 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육차수,EDU_CYCL,수,수N3,NUMBER(3),,지식과 기술 따위를 가르치며 인격을 길러 주는 것의 주기나 경과의 시기를 나타낸 수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육참석여부,EDU_ATND_YN,여부,여부C1,CHAR(1),,지식과 기술 등을 가르치는 자리에 참여했는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육참석인원수,EDU_ATND_NOPE,수,수N10,NUMBER(10),,지식과 기술 등을 가르치는 자리에 참여한 사람의 수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육평가점수,EDU_EVL_SCR,수,"수N10,3","NUMBER(10,3)",,학습자의 학습과 행동 발달 정도를 교육의 목표에 비추어 측정하고 판단한 것을 성적으로 나타낸 점수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육횟수,EDU_NMTM,수,수N10,NUMBER(10),,지식과 기술 따위를 가르치며 인격을 길러 주는 것을 시행한 횟수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교육훈련명,EDU_TRNG_NM,명,명V200,VARCHAR(200),,"직무 수행에 필요한 전문적인 지식과 기술을 배우고, 가치관과 태도 따위를 바람직한 방향으로 변환하는 활동의 이름",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교육훈련비,EDU_TRNFE,비용,비용N15,NUMBER(15),,"직무 수행에 필요한 전문적인 지식과 기술을 배우고, 가치관과 태도 따위를 바람직한 방향으로 변환하는 활동에 든 비용",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교육훈련점수,EDU_TRNG_SCR,수,수N7,NUMBER(7),,"직무 수행에 필요한 전문적인 지식과 기술을 배우고, 가치관과 태도 따위를 바람직한 방향으로 변환하는 활동의 성적을 나태내는 점수",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교재명,TCMTR_NM,명,명V100,VARCHAR(100),,학문이나 기예 따위를 가르치거나 배우는 데 필요한 여러 가지 재료의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교재비,TBEXP,비용,비용N15,NUMBER(15),,학문이나 기예 따위를 가르치거나 배우는 데 필요한 여러 가지 재료를 마련하는 데 드는 비용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교점명,NODE_NM,명,명V40,VARCHAR(40),,"데이터 통신망에서, 데이터를 전송하는 통로에 접속되는 하나 이상의 기능 단위의 이름",공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
교정기관명,CORR_INST_NM,명,명V200,VARCHAR(200),,"잘못된 행동을 바로잡고, 법과 질서, 사회 기능에 맞는 사람으로 다시 사회에 편입시키는 것을 주목적으로 하는 국가의 공식 조직 및 시설의 이름",공공데이터 공통표준용어 8차(2025-11),법무부,2025-11-01 00:00:00
교체사유,RPLC_RSN,내용,내용V4000,VARCHAR(4000),,사람이나 사물을 다른 사람이나 사물로 대신한 이유,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교체일자,RPLC_YMD,연월일,연월일C8,CHAR(8),,사람이나 사물을 다른 사람이나 사물로 대신한 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교체주기내용,RPLC_CYCLE_CN,내용,내용V4000,VARCHAR(4000),,사람이나 사물을 다른 사람이나 사물로 대신하는 일이 되풀이되기까지의 기간을 설명한 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교통량,TRFV,수,"수N10,3","NUMBER(10,3)",,일정한 곳을 일정한 시간에 왕래하는 사람이나 차량 따위의 수량,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교통보조비,TRFC_SBSDY,비용,비용N15,NUMBER(15),,근로자가 출퇴근 등 직무 수행과 관련하여 발생하는 교통비 부담을 보조하기 위해 지급되는 비용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교통비,TRNSCO,비용,비용N15,NUMBER(15),,탈것을 타고 다니는 데 드는 비용,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
교통수단명,TRFC_MNS_NM,명,명V100,VARCHAR(100),,사람이 이동하거나 짐을 옮기는 데 쓰는 수단의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
교통편내용,TRMNS_CN,내용,내용V4000,VARCHAR(4000),,한 장소에서 다른 장소로 오고 가는 데 이용하는 자동차·기차·선박·항공기 따위의 교통수단을 설명한 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
교환일자,EXCH_YMD,연월일,연월일C8,CHAR(8),,서로 바꾼 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
구간거리,SCTN_DSTNC,수,"수N10,3","NUMBER(10,3)",,어떤 지점과 다른 지점 사이에 공간적으로 떨어진 거리,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
구간명,SCTN_NM,명,명V100,VARCHAR(100),,어떤 지점과 다른 지점과의 사이를 식별하려고 붙이는 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
구간번호,SCTN_NO,번호,번호V20,VARCHAR(20),,어떤 지점과 다른 지점과의 사이의 구간에 부여하는 식별 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
구간일련번호,SCTN_SN,일련번호,일련번호N22,NUMBER(22),,어떤 지점과 다른 지점과의 사이의 구간에 일정한 방식으로 연속되게 매긴 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
구금장소명,CNFN_PLC_NM,명,명V100,VARCHAR(100),,피고인 또는 피의자를 구치소나 교도소 따위에 가두어 신체의 자유를 구속하는 강제 처분하는 곳의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
구내전화번호,PRMS_TELNO,전화번호,전화번호V4,VARCHAR(4),,큰 건물이나 시설 또는 부지의 안의 전화번호,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
