용어명,물리명,도메인유형,도메인,데이터타입,코드명,정의,요청업무,최종요청자,최종수정일시
분양전환가격,LTOT_SWTC_PRC,가격,가격N15,NUMBER(15),,"임대주택에서 일정 기간 임대를 한 후, 임차인이 그 주택을 매수하여 소유권을 이전받을 때 적용되는 가격",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
분양전환여부,LTOT_SWTC_YN,여부,여부C1,CHAR(1),,"임대주택에서 일정 기간 임대를 한 후, 임차인이 그 주택을 매수하여 소유권을 이전받았는지 여부",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
분양전환예정일자,LTOT_SWTC_PRNMNT_YMD,연월일,연월일C8,CHAR(8),,"임대주택에서 일정 기간 임대를 한 후, 임차인이 그 주택을 매수하여 소유권을 이전받기로 미리 정한 날짜",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
분양전환일자,LTOT_SWTC_YMD,연월일,연월일C8,CHAR(8),,"임대주택에서 일정 기간 임대를 한 후, 임차인이 그 주택을 매수하여 소유권을 이전받는 날짜",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분자량,MLWG,수,"수N10,3","NUMBER(10,3)",,탄소 동위 원소인 탄소-12의 질량을 기준으로 하여 나타낸 분자들의 질량의 상대적 크기,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
분포비율,DSTB_RT,율,"율N5,2","NUMBER(5,2)",,일정한 범위에 흩어져 퍼져 있는 것을 백분율로 산정한 것,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분할금액,PRTTN_AMT,금액,금액N15,NUMBER(15),,나누어 쪼갠 돈의 액수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분할납부금액,PRTTN_PAY_AMT,금액,금액N15,NUMBER(15),,나누어 쪼개서 세금이나 공과금 따위를 관계 기관에 내는 돈의 액수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
분할납부여부,PRTTN_PAY_YN,여부,여부C1,CHAR(1),,나누어 쪼개서 세금이나 공과금 등을 냈는지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분할납품여부,PRTTN_DLVGDS_YN,여부,여부C1,CHAR(1),,나누어 쪼개서 주문받은 물품을 가져다 줬는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분할비율,PRTTN_RT,율,"율N5,2","NUMBER(5,2)",,나누어 쪼갠 것을 백분율로 산정한 것,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
분할상환금액,PRTTN_RPMT_AMT,금액,금액N15,NUMBER(15),,나누어 쪼개서 갚거나 돌려주는 돈의 액수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분할상환약정여부,PRTTN_RPMT_STPL_YN,여부,여부C1,CHAR(1),,나누어 쪼개서 갚거나 돌려주는 것을 미리 정하여 약속했는지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분할상환약정일자,PRTTN_RPMT_STPL_YMD,연월일,연월일C8,CHAR(8),,나누어 쪼개서 갚거나 돌려주는 것을 미리 정하여 약속한 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분할상환여부,PRTTN_RPMT_YN,여부,여부C1,CHAR(1),,나누어 쪼개서 갚거나 돌려주었는지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
